#	zip_code	Location	City	Population	avg_house_income	National_Rank
1.	92130	32.957195, -117.202542	San Diego, California	28,187	$93,929.00	#372
2.	92131	32.893250, -117.087091	San Diego, California	29,279	$90,811.00	#440
3.	92129	32.961064, -117.134917	San Diego, California	47,217	$77,851.00	#943
4.	92127	33.017518, -117.118456	San Diego, California	20,032	$75,219.00	#1,098
6.	92128	33.000269, -117.072093	San Diego, California	42,728	$66,676.00	#1,918
7.	92106	32.713460, -117.236378	San Diego, California	18,505	$62,121.00	#2,537
30.	92101	32.725230, -117.171346	San Diego, California	27,494	$23,762.00	#28,929
5.	92121	32.898613, -117.202937	San Diego, California	4,248	$70,750.00	#1,463
8.	92126	32.886925, -117.152162	San Diego, California	74,222	$60,229.00	#2,969
9.	92124	32.827238, -117.089287	San Diego, California	30,187	$59,164.00	#3,164
10.	92120	32.807867, -117.060993	San Diego, California	25,553	$57,461.00	#3,497
11.	92119	32.802959, -117.027095	San Diego, California	21,850	$55,973.00	#3,871
12.	92122	32.857230, -117.209774	San Diego, California	34,891	$52,039.00	#5,040
13.	92123	32.808814, -117.134694	San Diego, California	25,217	$49,646.00	#6,070
14.	92139	32.677716, -117.047666	San Diego, California	36,341	$49,032.00	#6,302
15.	92117	32.825086, -117.199424	San Diego, California	51,203	$47,245.00	#7,069
16.	92114	32.707892, -117.055120	San Diego, California	66,837	$46,189.00	#7,664
17.	92109	32.787836, -117.232376	San Diego, California	46,071	$45,202.00	#8,262
18.	92154	32.578103, -117.012975	San Diego, California	68,764	$42,970.00	#9,563
19.	92111	32.805518, -117.169052	San Diego, California	46,821	$42,774.00	#9,691
20.	92107	32.741852, -117.243453	San Diego, California	27,956	$42,660.00	#9,770
21.	92108	32.774046, -117.142454	San Diego, California	11,640	$42,626.00	#9,790
22.	92110	32.765010, -117.199380	San Diego, California	24,149	$40,642.00	#11,487
23.	92103	32.747484, -117.166877	San Diego, California	30,186	$39,578.00	#12,506
24.	92116	32.765299, -117.122565	San Diego, California	33,080	$35,401.00	#17,001
25.	92115	32.762506, -117.072450	San Diego, California	56,883	$31,666.00	#21,440
26.	92104	32.741499, -117.127409	San Diego, California	47,688	$31,139.00	#22,144
27.	92102	32.716007, -117.117462	San Diego, California	47,123	$26,505.00	#27,101
28.	92105	32.741859, -117.090353	San Diego, California	72,994	$25,593.00	#27,821
29.	92113	32.697098, -117.116587	San Diego, California	47,417	$23,841.00	#28,897